d_model,seq_len,dtype,torch_fwd,torch_bwd,torch_full,fa2_fwd,fa2_bwd,fa2_full
16,128,torch.bfloat16,0.1121996282176538,0.5965040000421661,0.9427899232617131,0.022449236334950634,0.44218686548776404,0.733545626566662
16,256,torch.bfloat16,0.1202317689417376,0.6421175065540499,0.8870331383481318,0.026088660322028907,0.5117428147314508,0.8823233728015095
16,512,torch.bfloat16,0.10883763489074198,0.6307649213152055,0.9989666306390995,0.0317091645738103,0.637117517664451,0.7444579151272773
16,1024,torch.bfloat16,0.11905533208423147,0.6417583473797502,1.0602829393587614,0.044079248785324716,0.645207675526271,0.7852757310425794
16,2048,torch.bfloat16,0.12676495902544652,0.59434694647789,1.0405835449695586,0.07164811008020279,0.6758010956017595,0.8809824946565904
16,4096,torch.bfloat16,0.2331321652845246,0.6779772112465868,1.0367669104175135,0.1209977224158744,0.6810280218150446,0.7729300562824521
16,8192,torch.bfloat16,0.8704278906550976,1.7372532389380715,2.47339076262254,0.29749916150807515,0.7695292800664901,1.0731383853770318
16,16384,torch.bfloat16,3.146604391836351,5.767614168279311,8.752526369961826,0.9090458458432784,2.347554782162542,3.005161017179489
16,32768,torch.bfloat16,11.977803945541382,21.725919723510742,33.49216079711914,3.2821130832036336,8.153010845184326,11.19682002067566
16,65536,torch.bfloat16,47.46515083312988,85.32173156738281,132.59228515625,12.463273048400879,31.692724863688152,43.84652900695801
32,128,torch.bfloat16,0.1143178028566107,0.6304017766206352,1.050671817927525,0.022976852771016378,0.44228641131452023,0.7004810782630791
32,256,torch.bfloat16,0.11632575894150952,0.6259911321340852,1.032561585193372,0.025717122111432622,0.5609342335339855,0.7375687543801436
32,512,torch.bfloat16,0.11661659063608855,0.6345249720521875,0.991045647392086,0.032812440453907625,0.5578344807285687,0.7797975854741203
32,1024,torch.bfloat16,0.11636722400617688,0.5594359405005156,0.9589683363835017,0.048232204410703104,0.49231590303342515,0.7225194093253877
32,2048,torch.bfloat16,0.1270003670399342,0.5423812026327307,1.0237880028211153,0.07522144797953512,0.5377231137639163,0.7443353485087959
32,4096,torch.bfloat16,0.23261117255552632,0.7193229854551714,1.0671652334707755,0.13445337156847093,0.5499158764315635,0.9326406498344577
32,8192,torch.bfloat16,0.8714012320225055,1.717951406132091,2.456181355011769,0.34856967516096216,1.0977552582820256,1.330484281123524
32,16384,torch.bfloat16,3.1463535370365268,5.7654460072517395,8.725800687616522,1.1223322363460766,3.251811170578003,4.261537448219631
32,32768,torch.bfloat16,11.983139991760254,21.661392211914062,33.3480167388916,4.329214572906494,11.629672050476074,16.32265567779541
32,65536,torch.bfloat16,47.48276901245117,85.37129974365234,132.46240234375,16.991686248779295,49.19697570800781,65.83184051513672
