d_model,seq_len,fwd_time,bwd_time,memory
16,256,6.116375210694969e-05,0.000115634769317694,22184448
16,1024,0.00011894876253791153,0.00022070999315474183,87949824
16,4096,0.0009882349451072513,0.0016885436576558276,1105986048
16,8192,0.0037419494410278276,0.006157332257716916,4342415872
16,16384,0.014873425581026823,0.02347761093347799,17257726464
16,32768,0.06127669180219528,0.09289439982851036,68858151424
32,256,7.952733023557811e-05,0.00018134167708922178,23101952
32,1024,0.00012564527860376985,0.0002728237712290138,91619840
32,4096,0.0013814805581932887,0.002014813419082202,1120666112
32,8192,0.005826202789321542,0.007510403351625427,4371776000
32,16384,0.017628531272057445,0.024836257989518343,17316446720
32,32768,0.07287636983965058,0.10203840728034265,68975591936
64,256,9.895089664496481e-05,0.00018601373711135238,24936960
64,1024,0.00026877732016146184,0.0003377639607060701,98959872
64,4096,0.001806378667242825,0.0025033264892408624,1150026240
64,8192,0.006216070639202371,0.00896329584880732,4430496256
64,16384,0.023747148991096766,0.034918594249757004,17433887232
64,32768,0.08944870601815637,0.1314250953012379,69210472960
128,256,9.818739898037165e-05,0.00018797481257934123,28606976
128,1024,0.00030282101419288666,0.0004151477292180061,113639936
128,4096,0.002444320066133514,0.0036033744615269823,1208746496
128,8192,0.008984665647731163,0.013785367785021662,4547936768
128,16384,0.03355763016617857,0.05147255391057115,17668768256
128,32768,0.12622127600130625,0.19596013509202748,69680235008
