small,fwd_only,0.02108769239857793,0.00017532298250924974
small,fwd_bwd,0.05399504029774107,0.005397491542295699
small,fwd_bwd_optim,0.06213341220136499,0.0017912582460101406
medium,fwd_only,0.051591941015794875,0.000491713969557543
medium,fwd_bwd,0.15134756640181876,0.009919198924838812
medium,fwd_bwd_optim,0.18875116610142867,0.04952034902887691
large,fwd_only,0.10816406449303032,0.0006145300824133598
large,fwd_bwd,0.3310340593045112,0.014848783870223592
large,fwd_bwd_optim,0.3809348373033572,0.04374911248894163
xl,fwd_only,0.2981347888940945,0.002644900518185599
xl,fwd_bwd,0.9020912248874083,0.045291186867215394
xl,fwd_bwd_optim,0.9602160059963353,0.005915476685432022
ten_b,fwd_only,0.9784574031946249,0.09113138933581319
ten_b,fwd_bwd,2.951263123596436,0.2292584429570179
